air_temperature,air_humidity,soil_moisture,solar_radiation,ndvi,days_since_rain,wind_speed,risk_class
27.8,55.4,40.8,687.0,0.322,7.0,12.6,0
19.8,54.6,52.4,693.0,0.78,7.0,3.2,0
30.5,47.5,14.4,655.0,0.61,17.0,32.5,1
31.6,67.7,33.4,599.0,0.512,2.0,19.9,1
14.3,64.2,51.3,594.0,0.575,21.0,19.0,0
18.2,31.4,39.0,570.0,0.807,2.0,11.1,0
26.8,30.3,61.5,593.0,0.752,7.0,8.9,0
24.1,67.6,12.8,606.0,0.597,9.0,6.1,1
25.9,45.3,11.0,267.0,0.415,3.0,26.7,2
20.9,65.4,50.3,378.0,0.428,2.0,2.3,0
31.3,74.1,51.9,335.0,0.756,6.0,15.4,0
30.7,37.1,34.9,719.0,0.39,10.0,5.1,2
26.4,34.6,44.4,818.0,0.599,12.0,3.2,1
32.8,90.1,49.9,130.0,0.95,2.0,7.3,0
28.8,66.3,25.0,802.0,0.703,6.0,7.4,1
20.8,52.5,26.7,536.0,0.754,1.0,13.1,0
28.2,43.2,41.0,702.0,0.429,3.0,21.4,0
20.2,50.8,52.5,611.0,0.399,15.0,8.6,1
31.3,38.6,19.3,779.0,0.763,8.0,1.6,1
25.7,75.9,34.8,558.0,0.569,3.0,4.8,0
24.9,46.0,34.1,275.0,0.831,14.0,8.5,0
21.9,79.7,44.7,501.0,0.646,4.0,6.7,0
33.3,52.8,37.9,613.0,0.95,6.0,15.5,0
25.1,41.2,29.3,481.0,0.535,1.0,12.7,0
23.4,52.3,58.0,638.0,0.69,3.0,17.4,0
23.9,12.8,29.4,508.0,0.477,8.0,0.8,1
29.2,57.8,33.3,413.0,0.824,8.0,20.1,0
28.2,56.9,12.5,325.0,0.717,5.0,1.8,1
28.5,74.8,26.6,449.0,0.465,6.0,14.6,0
28.6,26.0,46.3,557.0,0.581,11.0,23.7,1
38.8,80.9,43.1,167.0,0.885,6.0,0.7,0
23.6,74.8,47.6,380.0,0.863,9.0,8.9,0
22.9,82.5,46.8,161.0,0.383,4.0,6.7,1
21.1,59.1,71.4,409.0,0.554,6.0,2.8,0
29.7,78.3,26.0,736.0,0.95,1.0,0.7,1
32.8,33.5,12.1,306.0,0.608,4.0,20.4,2
25.3,72.8,21.2,647.0,0.671,7.0,3.0,0
21.0,46.1,26.7,1033.0,0.823,6.0,50.1,1
21.1,30.3,22.4,782.0,0.398,4.0,3.3,2
29.9,39.8,39.5,544.0,0.469,3.0,3.5,0
30.5,60.1,58.0,675.0,0.58,7.0,0.3,0
29.3,45.2,62.6,273.0,0.855,6.0,3.0,0
22.0,66.8,46.1,237.0,0.822,8.0,4.2,0
27.4,27.5,72.3,525.0,0.768,4.0,9.2,0
26.7,21.7,32.3,592.0,0.613,10.0,14.6,1
27.3,84.7,11.9,717.0,0.841,2.0,5.8,2
31.2,76.3,54.9,418.0,0.611,2.0,14.5,0
27.3,41.1,8.6,555.0,0.742,15.0,29.4,2
30.1,59.9,25.9,549.0,0.802,2.0,7.6,0
26.4,78.4,46.3,496.0,0.943,7.0,6.1,0
27.7,67.5,36.4,507.0,0.628,5.0,3.5,0
29.8,62.7,34.9,366.0,0.573,15.0,9.4,1
17.3,79.7,19.1,570.0,0.871,10.0,26.4,1
24.1,46.8,37.8,555.0,0.885,2.0,9.0,0
23.2,60.6,54.1,441.0,0.54,18.0,14.9,0
22.2,59.7,38.3,640.0,0.439,13.0,9.5,1
24.3,55.1,24.7,705.0,0.857,5.0,8.8,0
35.0,53.0,18.0,642.0,0.342,2.0,44.5,2
20.8,61.3,25.0,332.0,0.333,7.0,12.5,1
31.8,60.6,44.3,538.0,0.59,8.0,18.5,1
15.9,41.1,43.5,356.0,0.638,1.0,13.9,0
24.0,74.4,25.2,537.0,0.429,7.0,9.2,1
27.0,42.4,3.0,357.0,0.66,12.0,5.6,2
29.5,56.1,44.7,750.0,0.668,7.0,26.0,0
30.3,54.7,23.6,661.0,0.534,6.0,1.5,2
30.8,66.4,49.0,728.0,0.95,5.0,4.9,1
23.9,21.9,25.9,709.0,0.697,3.0,5.0,1
23.2,76.0,22.2,471.0,0.823,13.0,19.5,0
31.1,47.8,40.5,443.0,0.358,5.0,26.8,1
24.9,82.0,75.7,834.0,0.356,7.0,2.4,1
18.3,51.4,50.0,490.0,0.703,2.0,8.1,0
19.2,59.1,40.2,276.0,0.95,6.0,19.0,0
20.5,94.4,43.7,701.0,0.438,9.0,5.3,0
29.0,55.0,10.0,546.0,0.646,5.0,14.8,2
26.9,82.3,20.0,791.0,0.398,5.0,7.8,2
30.1,60.7,3.0,564.0,0.491,6.0,37.2,2
23.4,67.5,65.7,516.0,0.655,9.0,5.7,0
27.0,61.3,62.4,795.0,0.531,7.0,16.6,1
29.8,75.3,44.3,243.0,0.385,23.0,6.5,1
24.1,47.7,40.2,415.0,0.381,15.0,10.7,0
28.7,42.3,13.2,360.0,0.281,4.0,2.7,2
22.0,48.5,34.5,125.0,0.706,13.0,14.9,0
23.8,61.8,66.7,677.0,0.728,1.0,21.6,0
23.7,56.0,40.1,420.0,0.727,5.0,2.3,0
18.8,72.8,29.0,683.0,0.456,2.0,4.7,1
28.9,83.5,9.9,590.0,0.801,10.0,20.1,2
23.2,42.4,60.1,629.0,0.747,5.0,7.0,0
26.1,46.8,36.9,438.0,0.621,2.0,8.6,0
28.9,34.1,9.9,382.0,0.592,11.0,3.3,2
28.7,96.5,23.2,536.0,0.503,2.0,22.0,1
30.0,65.5,17.6,685.0,0.655,10.0,2.7,1
25.4,68.6,35.9,511.0,0.911,8.0,8.6,0
23.5,35.9,41.3,394.0,0.825,5.0,5.6,0
25.5,60.0,29.9,304.0,0.574,12.0,17.1,0
15.9,69.2,50.4,557.0,0.717,3.0,45.0,0
17.3,55.5,39.3,420.0,0.422,1.0,1.7,1
18.1,79.4,55.0,507.0,0.751,2.0,5.3,0
20.0,100.0,32.3,477.0,0.47,22.0,6.9,0
28.4,43.0,86.7,440.0,0.744,3.0,2.6,0
20.6,41.6,29.0,573.0,0.95,5.0,9.4,1
23.7,44.2,23.5,620.0,0.517,17.0,18.2,2
33.8,88.9,21.6,874.0,0.95,5.0,11.6,2
23.9,78.8,34.6,656.0,0.708,10.0,15.2,0
30.4,57.6,10.5,807.0,0.485,18.0,5.0,2
20.4,60.7,42.7,373.0,0.477,9.0,15.3,1
24.8,45.3,7.5,232.0,0.95,6.0,11.3,1
20.3,76.0,40.6,517.0,0.709,11.0,3.1,1
24.0,53.2,16.4,674.0,0.518,1.0,9.8,2
31.0,55.3,31.9,646.0,0.583,4.0,5.6,2
15.6,71.0,47.7,738.0,0.698,15.0,59.7,0
28.6,56.6,74.9,63.0,0.618,3.0,19.1,0
27.4,55.8,20.8,746.0,0.682,7.0,10.7,1
22.4,60.2,35.6,580.0,0.939,10.0,24.6,0
17.3,74.3,26.4,242.0,0.417,5.0,15.6,1
26.4,89.6,24.1,650.0,0.736,10.0,3.1,1
22.8,70.5,26.6,551.0,0.607,8.0,29.9,1
27.4,74.5,51.2,589.0,0.53,34.0,2.4,1
26.1,56.4,30.2,700.0,0.813,11.0,27.3,0
35.6,47.3,74.0,597.0,0.357,8.0,11.5,1
24.6,71.8,44.7,255.0,0.194,1.0,9.4,1
19.9,63.1,21.8,494.0,0.66,4.0,4.8,0
27.1,34.4,32.1,229.0,0.595,3.0,12.0,0
27.3,54.1,25.2,637.0,0.376,17.0,14.9,2
34.2,58.5,50.8,772.0,0.312,2.0,14.0,1
31.0,50.8,11.8,297.0,0.95,5.0,11.4,2
28.1,86.7,16.5,399.0,0.703,8.0,8.4,1
34.8,68.6,28.5,361.0,0.624,4.0,16.2,1
18.9,84.7,48.9,438.0,0.95,5.0,6.8,0
22.2,64.7,57.7,594.0,0.804,8.0,9.0,0
20.4,61.5,60.1,440.0,0.938,3.0,13.2,0
23.7,43.1,46.5,637.0,0.408,7.0,9.7,1
17.7,60.2,36.7,712.0,0.401,11.0,2.5,1
29.8,60.2,50.7,718.0,0.731,4.0,11.5,0
24.7,35.4,19.7,319.0,0.695,2.0,11.5,1
17.2,50.3,8.5,769.0,0.845,19.0,10.7,2
19.9,54.2,45.0,784.0,0.326,19.0,8.5,1
27.9,67.4,21.9,799.0,0.747,6.0,7.3,1
31.0,68.3,37.0,492.0,0.798,7.0,9.9,0
38.0,49.5,39.9,385.0,0.789,7.0,4.9,0
43.5,68.4,42.0,343.0,0.547,4.0,25.8,1
28.5,56.7,53.0,322.0,0.713,6.0,13.4,0
20.1,8.3,51.3,522.0,0.48,1.0,12.4,1
13.2,51.3,41.1,673.0,0.567,2.0,21.3,0
27.6,79.4,30.9,755.0,0.432,5.0,4.3,1
21.1,29.7,39.7,433.0,0.483,4.0,6.4,0
23.5,62.0,28.5,513.0,0.577,2.0,5.9,1
22.3,88.5,34.9,501.0,0.532,6.0,12.8,1
25.2,46.3,79.9,406.0,0.483,10.0,4.2,1
32.4,60.0,40.9,652.0,0.386,3.0,17.2,1
26.9,36.5,45.2,585.0,0.95,8.0,12.5,0
25.0,89.3,26.7,546.0,0.53,5.0,5.6,1
19.8,58.5,54.3,584.0,0.679,11.0,2.8,0
16.0,60.8,50.2,631.0,0.303,2.0,12.3,0
23.1,84.4,50.3,629.0,0.864,2.0,1.8,0
25.7,71.9,41.4,369.0,0.65,5.0,5.2,0
36.6,44.2,54.5,681.0,0.54,3.0,8.8,1
26.8,48.3,58.3,566.0,0.542,14.0,8.3,1
31.9,68.9,42.5,442.0,0.776,2.0,5.8,0
23.0,48.8,36.2,562.0,0.088,4.0,16.5,2
18.9,21.9,52.3,582.0,0.472,22.0,4.6,0
20.2,59.0,23.5,715.0,0.599,2.0,5.7,0
21.6,33.4,26.5,332.0,0.596,6.0,10.6,0
38.8,89.1,37.1,758.0,0.95,5.0,10.6,1
21.1,63.2,10.1,524.0,0.559,9.0,3.3,1
31.0,43.7,51.2,429.0,0.798,8.0,10.2,0
20.6,47.4,22.6,423.0,0.946,8.0,6.3,1
31.6,26.0,30.5,340.0,0.741,12.0,5.9,0
28.3,40.2,34.6,207.0,0.499,12.0,12.0,1
25.1,78.3,38.6,642.0,0.389,4.0,4.1,0
25.8,100.0,32.5,877.0,0.754,4.0,7.9,0
22.1,73.1,36.9,229.0,0.916,10.0,9.2,0
28.7,58.3,37.0,349.0,0.718,7.0,12.2,1
23.3,52.2,30.8,655.0,0.842,8.0,5.4,1
18.6,42.8,25.6,512.0,0.95,6.0,14.1,1
18.3,97.1,55.3,670.0,0.771,4.0,16.9,0
27.0,56.6,4.3,502.0,0.422,10.0,16.7,2
35.5,98.1,34.7,415.0,0.629,3.0,3.1,0
27.0,85.1,30.5,479.0,0.867,23.0,16.3,1
25.3,28.7,44.7,91.0,0.575,21.0,16.8,1
27.7,48.0,14.7,314.0,0.891,26.0,29.4,2
33.8,48.0,30.0,691.0,0.608,7.0,3.5,1
27.3,58.6,36.4,735.0,0.68,5.0,23.7,0
23.5,58.9,55.1,773.0,0.557,16.0,1.8,0
32.6,100.0,43.3,599.0,0.649,7.0,17.2,0
28.6,40.6,19.1,114.0,0.658,11.0,19.6,1
35.2,64.1,30.2,406.0,0.33,11.0,16.7,2
27.1,71.1,52.2,758.0,0.541,3.0,2.4,0
18.7,60.0,18.8,812.0,0.398,9.0,22.7,2
17.8,62.0,36.7,765.0,0.547,11.0,42.4,1
35.9,41.2,37.9,477.0,0.477,6.0,3.9,2
36.3,61.9,31.8,285.0,0.802,2.0,7.5,1
24.9,69.2,81.1,513.0,0.804,16.0,5.3,0
23.7,65.9,31.4,523.0,0.721,22.0,14.8,0
34.8,70.3,45.2,802.0,0.392,7.0,6.7,1
19.4,85.4,25.7,561.0,0.602,5.0,15.5,1
20.6,76.9,46.4,523.0,0.378,1.0,8.4,0
29.9,61.3,51.9,533.0,0.593,7.0,10.7,0
23.6,38.9,28.6,592.0,0.737,4.0,9.6,1
26.0,49.2,37.1,633.0,0.799,1.0,1.8,0
25.0,56.0,23.7,390.0,0.705,12.0,10.3,1
28.0,64.5,19.7,330.0,0.847,10.0,2.5,2
34.4,51.4,54.6,767.0,0.667,4.0,2.9,1
26.5,43.2,29.1,225.0,0.578,19.0,23.0,0
29.9,38.6,3.0,815.0,0.777,6.0,14.6,2
13.7,30.3,66.2,176.0,0.783,7.0,13.8,0
25.7,55.8,25.2,415.0,0.526,5.0,10.4,1
20.9,33.5,34.1,695.0,0.688,13.0,37.4,1
18.7,42.0,64.3,520.0,0.567,9.0,10.2,1
20.7,52.9,35.7,283.0,0.258,1.0,8.9,1
24.0,36.0,35.4,597.0,0.699,6.0,8.6,1
31.5,66.8,18.3,532.0,0.387,11.0,20.5,2
18.0,73.3,11.8,481.0,0.679,1.0,9.8,1
26.2,50.1,35.3,408.0,0.344,11.0,12.0,0
23.1,52.1,43.8,514.0,0.49,10.0,21.6,0
24.0,69.7,42.9,415.0,0.542,3.0,14.0,0
32.0,47.1,30.3,958.0,0.836,5.0,18.0,2
29.2,45.9,38.3,477.0,0.524,2.0,5.2,1
34.0,81.5,8.6,453.0,0.427,4.0,3.5,2
25.1,75.9,45.4,423.0,0.686,5.0,26.2,0
21.8,70.8,40.6,840.0,0.581,10.0,17.6,1
24.7,76.7,69.6,225.0,0.762,12.0,15.1,0
27.5,24.4,38.1,585.0,0.438,8.0,12.6,2
27.1,84.4,22.9,477.0,0.658,5.0,9.7,1
19.5,67.1,37.2,264.0,0.95,11.0,5.4,0
26.5,78.2,32.8,373.0,0.577,7.0,5.3,1
27.4,67.0,45.0,577.0,0.654,8.0,3.5,0
41.1,60.9,38.4,364.0,0.321,12.0,2.5,1
37.3,55.0,17.8,567.0,0.466,10.0,4.5,2
20.9,66.6,11.8,831.0,0.703,8.0,7.2,2
24.3,54.4,42.2,551.0,0.561,9.0,26.1,0
17.2,75.6,60.1,258.0,0.731,4.0,2.4,0
22.5,31.4,39.3,368.0,0.696,3.0,10.7,0
27.9,50.3,51.0,469.0,0.383,22.0,27.8,1
33.2,96.8,54.2,457.0,0.803,3.0,20.4,0
21.6,48.7,42.3,547.0,0.396,12.0,9.9,0
22.1,55.7,25.0,576.0,0.482,5.0,5.6,1
13.1,44.1,41.1,831.0,0.661,10.0,1.3,0
25.0,66.0,57.3,519.0,0.902,1.0,10.9,0
19.6,46.7,46.5,313.0,0.439,2.0,16.0,1
22.8,56.7,50.0,728.0,0.647,13.0,5.7,0
20.7,75.3,30.6,747.0,0.648,1.0,21.3,0
25.4,47.4,34.8,562.0,0.738,4.0,9.0,1
15.5,74.2,36.1,476.0,0.833,17.0,12.3,0
17.2,74.8,37.2,632.0,0.547,12.0,9.9,1
38.8,79.0,56.7,482.0,0.802,5.0,21.1,1
18.3,62.5,3.0,150.0,0.859,3.0,21.6,2
19.4,100.0,38.5,621.0,0.941,18.0,14.4,0
37.0,79.0,36.7,681.0,0.71,4.0,7.8,1
43.4,65.8,16.1,779.0,0.648,8.0,9.6,2
