latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-8.74609,-47.49568,304.71,0.39,0.36,2026-06-15,436,N,VIIRS,n,2.0NRT,293.43,0.49,N
-8.6848,-47.83619,309.25,0.39,0.36,2026-06-15,436,N,VIIRS,n,2.0NRT,294.49,1.59,N
-8.39101,-47.4705,306.8,0.39,0.36,2026-06-15,436,N,VIIRS,n,2.0NRT,293.48,1.02,N
-8.38394,-46.49488,311.44,0.39,0.36,2026-06-15,436,N,VIIRS,n,2.0NRT,293.28,1.66,N
-8.38339,-46.49838,326.23,0.39,0.36,2026-06-15,436,N,VIIRS,n,2.0NRT,293.46,1.66,N
-8.31256,-47.11385,302.68,0.38,0.36,2026-06-15,436,N,VIIRS,n,2.0NRT,291.42,0.49,N
-8.31201,-47.11734,305.74,0.38,0.36,2026-06-15,436,N,VIIRS,n,2.0NRT,291.43,0.49,N
-8.19675,-46.75885,320.92,0.38,0.36,2026-06-15,436,N,VIIRS,n,2.0NRT,292.44,1.6,N
-8.19343,-46.75831,314.72,0.38,0.36,2026-06-15,436,N,VIIRS,n,2.0NRT,292.62,1.6,N
-8.19065,-46.7543,308.42,0.38,0.36,2026-06-15,436,N,VIIRS,n,2.0NRT,292.24,0.8,N
-8.18733,-46.75377,308.14,0.38,0.36,2026-06-15,436,N,VIIRS,n,2.0NRT,292.22,0.8,N
-8.14419,-47.55295,305.1,0.39,0.36,2026-06-15,436,N,VIIRS,n,2.0NRT,293.18,1.38,N
-8.14029,-47.55593,325.24,0.39,0.36,2026-06-15,436,N,VIIRS,n,2.0NRT,293.38,1.38,N
-8.13695,-47.5554,305.35,0.39,0.36,2026-06-15,436,N,VIIRS,n,2.0NRT,293.46,0.54,N
-8.11044,-46.77024,312.89,0.38,0.36,2026-06-15,436,N,VIIRS,n,2.0NRT,293.67,0.75,N
-8.1026,-46.0694,304.75,0.39,0.36,2026-06-15,436,N,VIIRS,n,2.0NRT,291.99,0.87,N
-8.09925,-46.06887,315.58,0.39,0.36,2026-06-15,436,N,VIIRS,n,2.0NRT,292.33,0.87,N
-8.08043,-47.19076,308.67,0.38,0.36,2026-06-15,436,N,VIIRS,n,2.0NRT,292.43,0.55,N
-7.91982,-48.25191,327.34,0.4,0.37,2026-06-15,436,N,VIIRS,n,2.0NRT,294.05,1.61,N
-7.91643,-48.25136,324.94,0.4,0.37,2026-06-15,436,N,VIIRS,n,2.0NRT,294.64,1.88,N
-7.789,-48.19446,303.32,0.4,0.37,2026-06-15,436,N,VIIRS,n,2.0NRT,292.94,0.81,N
-7.32277,-48.87308,326.43,0.42,0.38,2026-06-15,436,N,VIIRS,n,2.0NRT,293.29,2.93,N
-7.32215,-48.87688,313.54,0.42,0.38,2026-06-15,436,N,VIIRS,n,2.0NRT,292.92,3.86,N
-7.31901,-46.96158,302.6,0.38,0.36,2026-06-15,436,N,VIIRS,n,2.0NRT,292.52,0.36,N
-7.31868,-48.87632,323.05,0.42,0.38,2026-06-15,436,N,VIIRS,n,2.0NRT,294.03,3.86,N
-7.31806,-48.88013,331.87,0.42,0.38,2026-06-15,436,N,VIIRS,n,2.0NRT,295.8,3.86,N
-7.31521,-48.87574,309.23,0.42,0.38,2026-06-15,436,N,VIIRS,n,2.0NRT,293.06,0.61,N
-7.31459,-48.87956,303.45,0.42,0.38,2026-06-15,436,N,VIIRS,n,2.0NRT,293.08,0.61,N
-7.11514,-41.16973,327.74,0.42,0.45,2026-06-15,436,N,VIIRS,n,2.0NRT,292.59,1.64,N
-7.11096,-41.16913,303.68,0.42,0.45,2026-06-15,436,N,VIIRS,n,2.0NRT,291.65,1.64,N
-6.90149,-51.16414,307.73,0.55,0.43,2026-06-15,436,N,VIIRS,n,2.0NRT,293.53,1.03,N
-6.72642,-44.3764,318.64,0.42,0.38,2026-06-15,436,N,VIIRS,n,2.0NRT,292.86,1.57,N
-6.72584,-44.38015,307.79,0.42,0.38,2026-06-15,436,N,VIIRS,n,2.0NRT,292.33,1.23,N
-6.72237,-44.37962,304.86,0.42,0.38,2026-06-15,436,N,VIIRS,n,2.0NRT,292.59,0.63,N
-6.59105,-51.69359,304.57,0.4,0.44,2026-06-15,436,N,VIIRS,n,2.0NRT,292.33,0.82,N
-6.57552,-51.10213,327.22,0.55,0.43,2026-06-15,436,N,VIIRS,n,2.0NRT,298.03,42.2,N
-6.57161,-51.10134,319.39,0.55,0.43,2026-06-15,436,N,VIIRS,n,2.0NRT,295.03,42.2,N
-6.36477,-46.15423,305.3,0.38,0.36,2026-06-15,436,N,VIIRS,n,2.0NRT,292.72,0.6,N
-6.1721,-48.49674,316.96,0.42,0.37,2026-06-15,436,N,VIIRS,n,2.0NRT,293.92,1.58,N
-6.17148,-48.50057,312.85,0.42,0.37,2026-06-15,436,N,VIIRS,n,2.0NRT,293.53,1.55,N
-6.16578,-48.49198,317.76,0.42,0.37,2026-06-15,436,N,VIIRS,n,2.0NRT,294.23,1.31,N
-6.16515,-48.49585,319.41,0.42,0.37,2026-06-15,436,N,VIIRS,n,2.0NRT,294.69,1.31,N
-6.16252,-48.46849,305.79,0.42,0.37,2026-06-15,436,N,VIIRS,n,2.0NRT,294.32,0.98,N
-6.16231,-48.49152,309.22,0.42,0.37,2026-06-15,436,N,VIIRS,n,2.0NRT,294.43,1.31,N
-6.16007,-48.48352,308.6,0.42,0.37,2026-06-15,436,N,VIIRS,n,2.0NRT,294.27,1.42,N
-6.15947,-48.48722,321.4,0.42,0.37,2026-06-15,436,N,VIIRS,n,2.0NRT,294.89,1.42,N
-6.15905,-48.46803,309.46,0.42,0.37,2026-06-15,436,N,VIIRS,n,2.0NRT,294.29,0.98,N
-6.15885,-48.49102,305.94,0.42,0.37,2026-06-15,436,N,VIIRS,n,2.0NRT,294.17,0.63,N
-6.15843,-48.47179,314.3,0.42,0.37,2026-06-15,436,N,VIIRS,n,2.0NRT,294.37,0.98,N
-6.15782,-48.47556,304.5,0.42,0.37,2026-06-15,436,N,VIIRS,n,2.0NRT,293.88,0.88,N
-6.12185,-48.50031,310.27,0.42,0.37,2026-06-15,436,N,VIIRS,n,2.0NRT,294.55,1.11,N
-6.12025,-48.48847,310.54,0.42,0.37,2026-06-15,436,N,VIIRS,n,2.0NRT,294.44,1.52,N
-6.11979,-48.49998,312.87,0.42,0.38,2026-06-15,436,N,VIIRS,n,2.0NRT,294.68,1.45,N
-6.11839,-48.49981,308.23,0.42,0.37,2026-06-15,436,N,VIIRS,n,2.0NRT,294.66,1.11,N
-6.11814,-48.48817,310.92,0.42,0.37,2026-06-15,436,N,VIIRS,n,2.0NRT,294.44,1.92,N
-6.11179,-48.48357,308.93,0.42,0.37,2026-06-15,436,N,VIIRS,n,2.0NRT,294.73,1.84,N
-5.93883,-43.66349,309.02,0.44,0.39,2026-06-15,436,N,VIIRS,n,2.0NRT,291.09,1.01,N
-5.9371,-43.651,326.85,0.44,0.39,2026-06-15,436,N,VIIRS,n,2.0NRT,291.97,4.63,N
-5.93649,-43.65501,348.52,0.44,0.39,2026-06-15,436,N,VIIRS,n,2.0NRT,292.87,4.63,N
-5.93588,-43.65899,306.73,0.44,0.39,2026-06-15,436,N,VIIRS,n,2.0NRT,291.28,1.01,N
-5.54478,-47.57777,304.72,0.4,0.37,2026-06-15,436,N,VIIRS,n,2.0NRT,293.71,0.78,N
-5.41726,-47.56889,306.65,0.4,0.37,2026-06-15,436,N,VIIRS,n,2.0NRT,295.21,1.23,N
